Alert_ID,Date,Account_ID,Txn_Amount (₹),Avg_Txn_Amt (₹),Deviation (%),Location,Txn_Time,Frequency_Per_Day,Anomaly_Type,Risk_Score (0-100),ML_Prediction,Action_Taken,Resolved
ALT0036,08-Apr-2025,ACC9586,683540.96,466767.6,46.4%,Tamil Nadu,19:18,6,Geo Anomaly,71,Suspicious,Blocked,Yes
ALT0037,19-Feb-2025,ACC9572,659232.14,212199.33,210.7%,Tamil Nadu,05:55,1,New Vendor High Value,43,Legitimate,Escalated to Manager,No
ALT0038,09-Apr-2025,ACC2617,32785.33,20355.62,61.1%,Rajasthan,21:31,9,Override Attempt,62,Suspicious,Blocked,Yes
ALT0039,07-Jul-2025,ACC4616,606347.67,203391.43,198.1%,Delhi,20:31,15,Unusual Amount,89,Fraudulent,Blocked,Yes
ALT0040,04-Jul-2025,ACC7814,822204.49,573179.13,43.4%,Maharashtra,19:17,9,Duplicate Invoice,39,Legitimate,Cleared,Yes
ALT0041,09-Feb-2025,ACC4537,960626.16,334835.49,186.9%,Delhi,17:24,4,New Vendor High Value,97,Fraudulent,Flagged for Review,No
ALT0042,19-Oct-2025,ACC3931,558865.06,323622.44,72.7%,Karnataka,20:36,6,Backdated Entry,84,Fraudulent,Blocked,Yes
ALT0043,27-Mar-2025,ACC3955,550415.5,304020.01,81.0%,Tamil Nadu,17:38,8,Velocity Spike,70,Suspicious,Pending Review,No
ALT0044,16-Jun-2025,ACC7090,412930.95,254621.65,62.2%,Telangana,19:15,10,Split Transaction,57,Suspicious,Escalated to Manager,No
ALT0045,09-Oct-2025,ACC5162,360648.54,189773.89,90.0%,Rajasthan,00:46,1,Round Amount Pattern,32,Legitimate,Pending Review,No
ALT0046,11-Mar-2025,ACC5945,7562.26,5990.8,26.2%,Delhi,10:01,13,Round Amount Pattern,95,Fraudulent,Pending Review,No
ALT0047,20-Oct-2025,ACC3534,95192.84,50469.81,88.6%,Tamil Nadu,04:16,6,Override Attempt,61,Suspicious,Flagged for Review,No
ALT0048,12-May-2025,ACC5920,92813.22,46397.25,100.0%,Delhi,23:04,12,Velocity Spike,91,Fraudulent,Flagged for Review,No
ALT0049,07-Sep-2025,ACC2562,595635.97,268153.3,122.1%,Kerala,12:05,13,Duplicate Invoice,72,Suspicious,Cleared,Yes
ALT0050,11-Aug-2025,ACC7824,930315.84,335165.13,177.6%,Delhi,23:41,14,Override Attempt,31,Legitimate,Escalated to Manager,No
ALT0051,28-Jan-2025,ACC5993,524858.97,241255.77,117.6%,Kerala,04:20,9,New Vendor High Value,49,Legitimate,Blocked,Yes
ALT0052,11-Dec-2025,ACC7436,971069.2,656850.73,47.8%,Kerala,16:05,4,Geo Anomaly,67,Suspicious,Escalated to Manager,No
ALT0053,17-Mar-2025,ACC3165,336832.01,181191.14,85.9%,Maharashtra,17:25,5,Unusual Amount,81,Fraudulent,Pending Review,No
ALT0054,11-Aug-2025,ACC3136,762270.89,411977.88,85.0%,Delhi,15:25,11,Override Attempt,55,Suspicious,Pending Review,No
ALT0055,12-Nov-2025,ACC9589,246999.59,82947.89,197.8%,Rajasthan,10:43,15,Override Attempt,41,Legitimate,Blocked,Yes
ALT0056,10-Dec-2025,ACC7776,424117.06,201096.77,110.9%,Telangana,11:38,11,Duplicate Invoice,69,Suspicious,Flagged for Review,No
ALT0057,29-Jun-2025,ACC8245,623558.97,324395.15,92.2%,Delhi,06:43,6,Off-Hours Transaction,40,Legitimate,Blocked,Yes
ALT0058,28-Jan-2025,ACC4982,948991.97,724427.11,31.0%,Gujarat,00:21,12,Unusual Amount,69,Suspicious,Escalated to Manager,No
ALT0059,30-Aug-2025,ACC1372,332544.84,222807.2,49.3%,Delhi,06:34,9,Round Amount Pattern,91,Fraudulent,Pending Review,No
ALT0060,14-Mar-2025,ACC1301,377230.06,284061.83,32.8%,Uttar Pradesh,01:16,3,Duplicate Invoice,66,Suspicious,Flagged for Review,No
ALT0061,23-Dec-2025,ACC5444,54032.16,33898.64,59.4%,Maharashtra,02:24,11,Round Amount Pattern,76,Fraudulent,Blocked,Yes
ALT0062,10-Jan-2025,ACC5792,867543.03,541958.97,60.1%,Delhi,12:32,12,Unusual Amount,70,Suspicious,Escalated to Manager,No
ALT0063,02-Nov-2025,ACC9709,88932.65,35523.04,150.4%,West Bengal,17:59,12,Duplicate Invoice,35,Legitimate,Flagged for Review,No
ALT0064,29-Sep-2025,ACC5995,334236.06,166015.02,101.3%,Tamil Nadu,00:22,11,Velocity Spike,75,Suspicious,Cleared,Yes
ALT0065,01-May-2025,ACC9212,276602.4,91556.74,202.1%,Gujarat,12:56,14,Duplicate Invoice,65,Suspicious,Flagged for Review,No
ALT0066,19-Mar-2025,ACC6599,897278.14,563908.7,59.1%,Karnataka,23:24,9,Override Attempt,59,Suspicious,Escalated to Manager,No
ALT0067,04-May-2025,ACC3502,427038.53,194811.3,119.2%,Kerala,10:28,9,Off-Hours Transaction,56,Suspicious,Flagged for Review,No
ALT0068,25-Oct-2025,ACC9869,684364.59,274536.36,149.3%,Tamil Nadu,09:44,12,Split Transaction,47,Legitimate,Escalated to Manager,No
ALT0069,16-Mar-2025,ACC3589,318178.71,184120.52,72.8%,Karnataka,05:20,14,Off-Hours Transaction,33,Legitimate,Cleared,Yes
ALT0070,31-Jul-2025,ACC7737,304044.76,204562.79,48.6%,Gujarat,04:49,4,Unusual Amount,46,Legitimate,Flagged for Review,No
ALT0071,14-Jan-2025,ACC5372,605998.91,367345.03,65.0%,Kerala,07:14,11,Duplicate Invoice,75,Suspicious,Blocked,Yes
ALT0072,19-Dec-2025,ACC8808,134952.54,97580.01,38.3%,West Bengal,22:41,6,Off-Hours Transaction,79,Fraudulent,Escalated to Manager,No
ALT0073,31-Aug-2025,ACC3253,164622.59,68011.61,142.1%,Rajasthan,00:59,5,Geo Anomaly,58,Suspicious,Flagged for Review,No
ALT0074,15-Apr-2025,ACC2083,177901.12,138291.35,28.6%,West Bengal,19:31,12,Velocity Spike,88,Fraudulent,Flagged for Review,No
ALT0075,07-Aug-2025,ACC7633,776438.5,468941.66,65.6%,Rajasthan,23:20,7,Override Attempt,98,Fraudulent,Pending Review,No
ALT0076,25-Nov-2025,ACC1630,521128.44,274011.83,90.2%,Maharashtra,07:33,9,Geo Anomaly,35,Legitimate,Pending Review,No
ALT0077,18-Jul-2025,ACC9456,765394.71,597999.94,28.0%,Delhi,09:28,7,Round Amount Pattern,66,Suspicious,Escalated to Manager,No
ALT0078,27-Mar-2025,ACC7921,295125.31,224152.52,31.7%,Uttar Pradesh,04:29,14,Backdated Entry,41,Legitimate,Pending Review,No
ALT0079,27-Feb-2025,ACC3945,778952.41,598953.04,30.1%,Uttar Pradesh,04:25,7,Velocity Spike,87,Fraudulent,Blocked,Yes
ALT0080,02-Apr-2025,ACC8433,590725.16,387703.08,52.4%,Delhi,14:05,5,Velocity Spike,50,Legitimate,Blocked,Yes
ALT0081,16-Feb-2025,ACC2870,706520.48,435948.72,62.1%,Karnataka,16:45,7,Split Transaction,50,Legitimate,Escalated to Manager,No
ALT0082,09-Oct-2025,ACC7235,44862.18,17291.79,159.4%,Telangana,18:55,11,Off-Hours Transaction,50,Legitimate,Flagged for Review,No
ALT0083,02-Apr-2025,ACC1840,420162.11,191072.57,119.9%,West Bengal,09:40,3,Unusual Amount,46,Legitimate,Flagged for Review,No
ALT0084,02-Jan-2025,ACC5146,13195.56,7241.91,82.2%,West Bengal,17:51,1,Override Attempt,93,Fraudulent,Flagged for Review,No
ALT0085,22-Apr-2025,ACC8794,454284.75,236654.04,92.0%,Kerala,19:00,4,Split Transaction,65,Suspicious,Pending Review,No
ALT0086,18-Nov-2025,ACC4401,49869.88,18657.72,167.3%,Telangana,01:09,14,Duplicate Invoice,68,Suspicious,Cleared,Yes
ALT0087,14-Feb-2025,ACC1803,109778.76,87479.14,25.5%,Tamil Nadu,21:18,10,Override Attempt,52,Suspicious,Escalated to Manager,No
ALT0088,24-Oct-2025,ACC6901,931548.34,322840.32,188.5%,Gujarat,10:23,15,Geo Anomaly,38,Legitimate,Escalated to Manager,No
ALT0089,09-Oct-2025,ACC2063,293539.88,107809.24,172.3%,Gujarat,10:33,7,Split Transaction,56,Suspicious,Flagged for Review,No
ALT0090,10-Nov-2025,ACC1953,110192.93,73263.34,50.4%,Uttar Pradesh,02:30,12,Override Attempt,66,Suspicious,Escalated to Manager,No
ALT0091,08-Nov-2025,ACC6185,260400.38,153003.8,70.2%,Kerala,11:59,3,Override Attempt,93,Fraudulent,Pending Review,No
ALT0092,20-Nov-2025,ACC9154,493011.95,192251.79,156.4%,Kerala,07:45,5,New Vendor High Value,30,Legitimate,Blocked,Yes
ALT0093,13-Jan-2025,ACC8616,625835.28,224651.62,178.6%,Delhi,19:26,7,Duplicate Invoice,72,Suspicious,Cleared,Yes
ALT0094,14-Oct-2025,ACC4478,12285.97,4921.68,149.6%,Gujarat,08:50,2,Round Amount Pattern,68,Suspicious,Pending Review,No
ALT0095,09-Oct-2025,ACC6307,767265.57,273851.19,180.2%,Telangana,10:25,12,Override Attempt,33,Legitimate,Flagged for Review,No
ALT0096,10-Apr-2025,ACC6415,833991.47,634784.17,31.4%,West Bengal,15:51,1,Off-Hours Transaction,91,Fraudulent,Flagged for Review,No
ALT0097,18-Nov-2025,ACC8546,892166.27,507182.05,75.9%,Telangana,14:50,14,Geo Anomaly,37,Legitimate,Pending Review,No
ALT0098,03-Jun-2025,ACC6169,555622.03,171886.8,223.2%,Kerala,21:21,13,Velocity Spike,38,Legitimate,Flagged for Review,No
ALT0099,24-May-2025,ACC1510,339813.27,165699.88,105.1%,Uttar Pradesh,05:36,10,Geo Anomaly,53,Suspicious,Pending Review,No
ALT0100,01-Mar-2025,ACC6050,705560.92,322617.52,118.7%,Maharashtra,08:26,2,Backdated Entry,60,Suspicious,Cleared,Yes
