Txn_ID,Date,Vendor/Client,Category,State,Invoice_No,Amount (₹),GST_Rate (%),GST_Amt (₹),Total (₹),Payment_Method,Due_Date,Status,Days_Overdue
TXN0013,23-Mar-25,ITC Ltd,Office Supplies,Kerala,INV-18326,195459.82,28,54728.75,250188.57,Cash,23-Apr-25,Overdue,252
TXN0014,06-Jan-25,Maruti Suzuki,Cloud Hosting,Uttar Pradesh,INV-44973,385456.37,18,69382.15,454838.52,NEFT,08-Feb-25,Pending,0
TXN0015,22-Mar-25,ICICI Bank,Software Services,Gujarat,INV-75612,382171.29,5,19108.56,401279.85,UPI,16-May-25,Overdue,229
TXN0016,08-Nov-25,HCL Tech,Hardware,Telangana,INV-31174,271992.62,5,13599.63,285592.25,Cash,13-Dec-25,Pending,0
TXN0017,10-Jan-25,Infosys Ltd,Raw Material,Gujarat,INV-41385,33672.96,5,1683.65,35356.61,NEFT,25-Feb-25,Paid,0
TXN0018,30-Sep-25,ITC Ltd,Hardware,Tamil Nadu,INV-96474,240264.78,12,28831.77,269096.55,UPI,17-Nov-25,Overdue,44
TXN0019,05-Aug-25,HCL Tech,Travel,Delhi,INV-50857,202501.19,18,36450.21,238951.4,Cheque,22-Sep-25,Pending,0
TXN0020,03-Mar-25,HCL Tech,Consulting,Karnataka,INV-54313,15411.96,12,1849.44,17261.4,Cash,01-Apr-25,Paid,0
TXN0021,06-Feb-25,Sun Pharma,Software Services,Delhi,INV-18834,453182.91,18,81572.92,534755.83,NEFT,25-Mar-25,Paid,0
TXN0022,23-May-25,Maruti Suzuki,Marketing,Delhi,INV-80678,70494.37,28,19738.42,90232.79,RTGS,07-Jul-25,Pending,0
TXN0023,08-Apr-25,Infosys Ltd,Cloud Hosting,Rajasthan,INV-56438,214671.42,28,60108,274779.42,NEFT,05-Jun-25,Partially Paid,0
TXN0024,27-Nov-25,Infosys Ltd,Software Services,Rajasthan,INV-54473,401293.29,5,20064.66,421357.95,RTGS,24-Dec-25,Paid,0
TXN0025,02-Oct-25,ICICI Bank,Hardware,Rajasthan,INV-34050,142879.85,12,17145.58,160025.43,NEFT,14-Nov-25,Overdue,47
TXN0026,20-Feb-25,Tata Consultancy,Travel,Maharashtra,INV-22224,463551.66,12,55626.2,519177.86,RTGS,02-Apr-25,Pending,0
TXN0027,04-Sep-25,HCL Tech,Office Supplies,Maharashtra,INV-31579,192591.69,28,53925.67,246517.36,UPI,18-Oct-25,Paid,0
TXN0028,05-Aug-25,Sun Pharma,Travel,West Bengal,INV-30289,98999.44,12,11879.93,110879.37,NEFT,26-Sep-25,Partially Paid,0
TXN0029,05-Oct-25,Tata Consultancy,Raw Material,Maharashtra,INV-16572,294167.91,12,35300.15,329468.06,NEFT,21-Nov-25,Paid,0
TXN0030,06-Apr-25,Infosys Ltd,Utilities,Karnataka,INV-98501,431600.5,28,120848.14,552448.64,NEFT,27-May-25,Paid,0
TXN0031,24-Oct-25,Asian Paints,Software Services,Kerala,INV-20745,212516.33,18,38252.94,250769.27,UPI,21-Nov-25,Partially Paid,0
TXN0032,10-Jun-25,HCL Tech,Maintenance,Rajasthan,INV-27154,337486.66,18,60747.6,398234.26,Cheque,15-Jul-25,Paid,0
TXN0033,05-Jan-25,ICICI Bank,Utilities,Kerala,INV-23104,41264.06,12,4951.69,46215.75,Cash,05-Feb-25,Paid,0
TXN0034,28-Jun-25,Nestle India,Cloud Hosting,Delhi,INV-58434,146068.76,28,40899.25,186968.01,Cash,27-Aug-25,Paid,0
TXN0035,10-Nov-25,ITC Ltd,Travel,Maharashtra,INV-97538,409466.55,18,73703.98,483170.53,NEFT,03-Dec-25,Paid,0
TXN0036,01-Mar-25,Nestle India,Cloud Hosting,Uttar Pradesh,INV-30374,139812.37,12,16777.48,156589.85,UPI,29-Mar-25,Partially Paid,0
TXN0037,21-Nov-25,Hindustan Unilever,Maintenance,Uttar Pradesh,INV-74032,129305.02,5,6465.25,135770.27,NEFT,15-Jan-26,Pending,0
TXN0038,22-May-25,Tata Consultancy,Software Services,Telangana,INV-27146,320371.12,18,57666.8,378037.92,RTGS,04-Jul-25,Overdue,180
TXN0039,28-Dec-25,HDFC Bank,Travel,Maharashtra,INV-24663,42245.71,12,5069.49,47315.2,Cash,14-Jan-26,Paid,0
TXN0040,26-Oct-25,Bajaj Finance,Hardware,Rajasthan,INV-26704,25705.28,18,4626.95,30332.23,NEFT,02-Dec-25,Paid,0
TXN0041,16-Dec-25,HCL Tech,Cloud Hosting,Telangana,INV-83385,442646.68,28,123941.07,566587.75,Cash,09-Jan-26,Paid,0
TXN0042,25-Mar-25,ITC Ltd,Hardware,Rajasthan,INV-13248,93783.53,18,16881.04,110664.57,Cheque,21-May-25,Partially Paid,0
TXN0043,08-May-25,Tech Mahindra,Hardware,Karnataka,INV-60140,436722.56,28,122282.32,559004.88,RTGS,04-Jun-25,Pending,0
TXN0044,29-Jun-25,Tech Mahindra,Consulting,Delhi,INV-13101,331716.43,28,92880.6,424597.03,UPI,31-Jul-25,Paid,0
TXN0045,23-May-25,Reliance Ind,Travel,Rajasthan,INV-99065,490669.1,18,88320.44,578989.54,NEFT,14-Jun-25,Paid,0
TXN0046,02-Apr-25,Asian Paints,Maintenance,Maharashtra,INV-24208,300302.77,18,54054.5,354357.27,UPI,14-May-25,Overdue,231
TXN0047,19-Sep-25,Infosys Ltd,Office Supplies,Kerala,INV-34914,131087.64,28,36704.54,167792.18,NEFT,06-Nov-25,Overdue,55
TXN0048,18-Dec-25,Sun Pharma,Consulting,Telangana,INV-66531,39637.04,18,7134.67,46771.71,Cash,22-Jan-26,Partially Paid,0
TXN0049,05-Mar-25,Sun Pharma,Maintenance,Uttar Pradesh,INV-50538,335111.99,18,60320.16,395432.15,Cheque,03-May-25,Paid,0
TXN0050,11-Oct-25,Wipro Ltd,Consulting,Rajasthan,INV-97153,470480.02,12,56457.6,526937.62,Cash,01-Dec-25,Paid,0
TXN0051,27-Jul-25,Bajaj Finance,Software Services,Gujarat,INV-47606,109040.43,18,19627.28,128667.71,Cheque,08-Sep-25,Pending,0
TXN0052,12-Dec-25,HCL Tech,Travel,West Bengal,INV-32241,331131.12,18,59603.6,390734.72,Cash,07-Feb-26,Partially Paid,0
TXN0053,14-Nov-25,Reliance Ind,Cloud Hosting,Delhi,INV-98184,158657.63,12,19038.92,177696.55,RTGS,30-Nov-25,Paid,0
TXN0054,06-May-25,ICICI Bank,Utilities,Karnataka,INV-69692,210148.3,12,25217.8,235366.1,Cheque,21-Jun-25,Pending,0
TXN0055,05-May-25,Wipro Ltd,Software Services,Karnataka,INV-65724,113326.36,28,31731.38,145057.74,NEFT,24-Jun-25,Paid,0
TXN0056,04-Mar-25,ICICI Bank,Hardware,West Bengal,INV-97500,267910.28,18,48223.85,316134.13,Cheque,27-Apr-25,Partially Paid,0
TXN0057,16-Sep-25,HDFC Bank,Travel,West Bengal,INV-30861,373109.44,28,104470.64,477580.08,Cheque,17-Oct-25,Paid,0
TXN0058,23-Nov-25,Tech Mahindra,Travel,West Bengal,INV-92149,123426.7,28,34559.48,157986.18,NEFT,22-Jan-26,Paid,0
TXN0059,01-May-25,Tech Mahindra,Raw Material,Telangana,INV-80798,44885.94,12,5386.31,50272.25,RTGS,09-Jun-25,Partially Paid,0
TXN0060,20-Mar-25,Sun Pharma,Consulting,Karnataka,INV-64377,206761.69,28,57893.27,264654.96,Cheque,07-Apr-25,Paid,0
TXN0061,04-Aug-25,HDFC Bank,Utilities,Maharashtra,INV-85456,193288.61,5,9664.43,202953.04,UPI,07-Sep-25,Pending,0
TXN0062,03-Aug-25,Bajaj Finance,Travel,Kerala,INV-38906,246673.59,18,44401.25,291074.84,Cheque,18-Sep-25,Paid,0
TXN0063,19-Jul-25,Reliance Ind,Office Supplies,Tamil Nadu,INV-71261,460173.1,5,23008.65,483181.75,Cheque,09-Sep-25,Overdue,113
TXN0064,06-Dec-25,Tata Consultancy,Cloud Hosting,Rajasthan,INV-27786,434091.42,12,52090.97,486182.39,NEFT,06-Jan-26,Pending,0
TXN0065,17-Jun-25,HCL Tech,Marketing,Telangana,INV-54236,381808.71,28,106906.44,488715.15,UPI,28-Jul-25,Paid,0
TXN0066,11-Feb-25,ICICI Bank,Software Services,Uttar Pradesh,INV-16826,499954.38,18,89991.79,589946.17,RTGS,08-Apr-25,Paid,0
TXN0067,30-Nov-25,Tata Consultancy,Software Services,Delhi,INV-36130,420418.28,12,50450.19,470868.47,RTGS,23-Dec-25,Pending,0
TXN0068,09-Dec-25,Infosys Ltd,Utilities,Delhi,INV-70952,351235.16,18,63222.33,414457.49,RTGS,31-Jan-26,Overdue,0
TXN0069,28-Feb-25,ITC Ltd,Hardware,Gujarat,INV-24168,291448.94,18,52460.81,343909.75,Cash,27-Apr-25,Pending,0
TXN0070,23-Jul-25,Sun Pharma,Consulting,Karnataka,INV-87607,346854.14,12,41622.5,388476.64,NEFT,20-Sep-25,Paid,0
TXN0071,17-Dec-25,Asian Paints,Cloud Hosting,Kerala,INV-15383,176865.86,28,49522.44,226388.3,UPI,05-Jan-26,Overdue,0
TXN0072,28-Nov-25,Reliance Ind,Software Services,Rajasthan,INV-74251,57241.74,18,10303.51,67545.25,Cheque,27-Jan-26,Paid,0
TXN0073,11-Aug-25,Wipro Ltd,Travel,Gujarat,INV-90728,405058.61,28,113416.41,518475.02,Cheque,22-Sep-25,Partially Paid,0
TXN0074,31-Oct-25,Tech Mahindra,Raw Material,Delhi,INV-21359,143069.48,28,40059.45,183128.93,RTGS,14-Dec-25,Overdue,17
TXN0075,09-Nov-25,Maruti Suzuki,Office Supplies,Telangana,INV-13761,249681.72,18,44942.71,294624.43,RTGS,25-Dec-25,Paid,0
TXN0076,01-Jul-25,ITC Ltd,Maintenance,Telangana,INV-46655,440758.39,18,79336.51,520094.9,Cash,16-Jul-25,Overdue,168
TXN0077,08-Apr-25,Infosys Ltd,Consulting,Rajasthan,INV-74038,279812.22,12,33577.47,313389.69,Cheque,03-Jun-25,Partially Paid,0
TXN0078,09-Sep-25,ICICI Bank,Software Services,Karnataka,INV-48566,114690.22,12,13762.83,128453.05,UPI,05-Nov-25,Overdue,56
TXN0079,08-Jul-25,ICICI Bank,Travel,Uttar Pradesh,INV-55056,215624.39,18,38812.39,254436.78,UPI,05-Sep-25,Pending,0
TXN0080,19-May-25,Tech Mahindra,Maintenance,Delhi,INV-25814,362035.74,18,65166.43,427202.17,NEFT,07-Jul-25,Partially Paid,0
TXN0081,05-Apr-25,HCL Tech,Consulting,West Bengal,INV-46241,363669.58,18,65460.52,429130.1,NEFT,02-May-25,Paid,0
TXN0082,27-Apr-25,Reliance Ind,Hardware,Gujarat,INV-11854,355469.15,12,42656.3,398125.45,UPI,14-May-25,Paid,0
TXN0083,11-Oct-25,Tech Mahindra,Hardware,West Bengal,INV-23446,436996.27,18,78659.33,515655.6,Cheque,25-Nov-25,Pending,0
TXN0084,24-Jun-25,Wipro Ltd,Software Services,Gujarat,INV-72616,61473.13,5,3073.66,64546.79,Cheque,09-Aug-25,Paid,0
TXN0085,23-Oct-25,Maruti Suzuki,Software Services,Tamil Nadu,INV-29555,406515.33,18,73172.76,479688.09,NEFT,22-Nov-25,Paid,0
TXN0086,13-Oct-25,ITC Ltd,Office Supplies,Kerala,INV-88135,396416.71,12,47570.01,443986.72,Cash,21-Nov-25,Pending,0
TXN0087,15-Aug-25,Tech Mahindra,Utilities,Rajasthan,INV-50026,286471.59,5,14323.58,300795.17,Cash,05-Sep-25,Paid,0
TXN0088,17-Nov-25,HCL Tech,Maintenance,Karnataka,INV-30585,123733.26,5,6186.66,129919.92,RTGS,02-Dec-25,Pending,0
TXN0089,19-Aug-25,Sun Pharma,Utilities,West Bengal,INV-48175,21156.73,18,3808.21,24964.94,UPI,17-Oct-25,Pending,0
TXN0090,06-Feb-25,Maruti Suzuki,Consulting,Gujarat,INV-91927,296945.85,12,35633.5,332579.35,Cheque,28-Feb-25,Overdue,306
TXN0091,26-Apr-25,Maruti Suzuki,Hardware,Gujarat,INV-28643,40347.87,12,4841.74,45189.61,UPI,18-Jun-25,Partially Paid,0
TXN0092,19-Oct-25,Nestle India,Maintenance,West Bengal,INV-26299,237005.5,18,42660.99,279666.49,Cheque,20-Nov-25,Overdue,41
TXN0093,04-Oct-25,ICICI Bank,Marketing,Karnataka,INV-88385,24731.09,28,6924.71,31655.8,UPI,26-Nov-25,Paid,0
TXN0094,14-Jan-25,Infosys Ltd,Consulting,Kerala,INV-86955,475639.21,18,85615.06,561254.27,Cash,31-Jan-25,Paid,0
TXN0095,29-Aug-25,Bajaj Finance,Marketing,Gujarat,INV-33788,498488.01,28,139576.64,638064.65,Cheque,18-Sep-25,Pending,0
TXN0096,28-Jun-25,HDFC Bank,Raw Material,Telangana,INV-97835,56776.94,12,6813.23,63590.17,UPI,08-Aug-25,Partially Paid,0
TXN0097,11-Sep-25,Tech Mahindra,Office Supplies,Uttar Pradesh,INV-14809,230138.82,18,41424.99,271563.81,UPI,16-Oct-25,Paid,0
TXN0098,26-Jul-25,Hindustan Unilever,Travel,Maharashtra,INV-96200,435336.9,28,121894.33,557231.23,Cheque,13-Aug-25,Paid,0
TXN0099,23-Sep-25,Reliance Ind,Utilities,West Bengal,INV-91973,223810.27,5,11190.51,235000.78,RTGS,25-Oct-25,Overdue,67
TXN0100,09-Mar-25,Nestle India,Maintenance,West Bengal,INV-73532,65105.91,12,7812.71,72918.62,RTGS,12-Apr-25,Overdue,263
TXN0101,08-Jan-25,Bajaj Finance,Office Supplies,Karnataka,INV-39451,496167.28,5,24808.36,520975.64,Cheque,30-Jan-25,Partially Paid,0
TXN0102,20-Mar-25,ICICI Bank,Maintenance,Uttar Pradesh,INV-45838,210667.72,28,58986.96,269654.68,Cheque,19-Apr-25,Pending,0
TXN0103,10-Oct-25,Wipro Ltd,Office Supplies,Delhi,INV-88561,256579.24,12,30789.51,287368.75,NEFT,11-Nov-25,Pending,0
TXN0104,24-Jun-25,Nestle India,Travel,Gujarat,INV-10336,145005.3,18,26100.95,171106.25,Cash,15-Aug-25,Partially Paid,0
TXN0105,08-Sep-25,Hindustan Unilever,Hardware,West Bengal,INV-80592,244748.99,18,44054.82,288803.81,Cash,27-Oct-25,Pending,0
TXN0106,22-Aug-25,Nestle India,Raw Material,Delhi,INV-41300,288039.83,12,34564.78,322604.61,Cheque,08-Sep-25,Paid,0
TXN0107,31-Aug-25,Sun Pharma,Office Supplies,Rajasthan,INV-96991,397234.86,12,47668.18,444903.04,Cheque,17-Sep-25,Paid,0
TXN0108,15-Sep-25,Asian Paints,Raw Material,Karnataka,INV-67711,54357.29,28,15220.04,69577.33,NEFT,09-Oct-25,Pending,0
TXN0109,02-Dec-25,Wipro Ltd,Cloud Hosting,West Bengal,INV-44737,172587.81,28,48324.59,220912.4,NEFT,07-Jan-26,Partially Paid,0
TXN0110,01-Oct-25,HDFC Bank,Raw Material,West Bengal,INV-80912,22770.05,5,1138.5,23908.55,RTGS,25-Nov-25,Partially Paid,0
TXN0111,28-May-25,HCL Tech,Cloud Hosting,Rajasthan,INV-22903,381383,5,19069.15,400452.15,Cheque,22-Jun-25,Partially Paid,0
TXN0112,03-Jun-25,Nestle India,Software Services,Maharashtra,INV-52516,399091.02,18,71836.38,470927.4,UPI,11-Jul-25,Pending,0
TXN0113,16-Mar-25,HCL Tech,Travel,Rajasthan,INV-84177,342491.18,12,41098.94,383590.12,RTGS,11-Apr-25,Paid,0
TXN0114,09-Nov-25,Hindustan Unilever,Office Supplies,Kerala,INV-99539,124210.75,12,14905.29,139116.04,RTGS,23-Dec-25,Partially Paid,0
TXN0115,11-May-25,ICICI Bank,Maintenance,Maharashtra,INV-70981,451098.66,12,54131.84,505230.5,NEFT,23-Jun-25,Paid,0
TXN0116,28-Oct-25,Tech Mahindra,Office Supplies,Gujarat,INV-69878,423425.44,12,50811.05,474236.49,Cheque,12-Dec-25,Paid,0
TXN0117,02-May-25,HDFC Bank,Utilities,Telangana,INV-85341,151456.83,18,27262.23,178719.06,NEFT,28-Jun-25,Pending,0
TXN0118,21-May-25,Tata Consultancy,Utilities,Maharashtra,INV-89482,373860.22,18,67294.84,441155.06,RTGS,13-Jul-25,Paid,0
TXN0119,23-Apr-25,Maruti Suzuki,Consulting,Kerala,INV-42850,340493.41,12,40859.21,381352.62,NEFT,17-Jun-25,Partially Paid,0
TXN0120,21-Jan-25,Tech Mahindra,Marketing,Maharashtra,INV-85965,185606.31,12,22272.76,207879.07,NEFT,23-Feb-25,Paid,0
TXN0121,01-Aug-25,Wipro Ltd,Consulting,Tamil Nadu,INV-80701,438848,18,78992.64,517840.64,Cash,17-Sep-25,Paid,0
TXN0122,26-Mar-25,Tech Mahindra,Marketing,Gujarat,INV-54396,403095.11,28,112866.63,515961.74,NEFT,19-Apr-25,Paid,0
TXN0123,13-Dec-25,Sun Pharma,Office Supplies,Uttar Pradesh,INV-57942,49699.92,28,13915.98,63615.9,NEFT,13-Jan-26,Overdue,0
TXN0124,05-Mar-25,ICICI Bank,Raw Material,Gujarat,INV-86619,193607.62,18,34849.37,228456.99,NEFT,02-May-25,Paid,0
TXN0125,30-Aug-25,Tata Consultancy,Utilities,Uttar Pradesh,INV-52992,458051.67,12,54966.2,513017.87,NEFT,24-Oct-25,Pending,0
TXN0126,25-Dec-25,Tech Mahindra,Office Supplies,Karnataka,INV-28320,27446.67,5,1372.33,28819,UPI,09-Feb-26,Paid,0
TXN0127,19-Feb-25,HCL Tech,Travel,Tamil Nadu,INV-60940,229553.66,28,64275.02,293828.68,Cash,15-Mar-25,Pending,0
TXN0128,02-Dec-25,Infosys Ltd,Marketing,Kerala,INV-63492,469831.27,18,84569.63,554400.9,NEFT,30-Jan-26,Paid,0
TXN0129,22-Apr-25,ICICI Bank,Marketing,Delhi,INV-57537,54180.54,18,9752.5,63933.04,Cash,17-Jun-25,Paid,0
TXN0130,01-Feb-25,HDFC Bank,Maintenance,Delhi,INV-26011,474760.34,28,132932.9,607693.24,NEFT,30-Mar-25,Paid,0
TXN0131,25-Nov-25,Maruti Suzuki,Utilities,Maharashtra,INV-16629,394463.32,12,47335.6,441798.92,RTGS,15-Jan-26,Paid,0
TXN0132,05-Feb-25,Hindustan Unilever,Travel,Delhi,INV-86858,111895.92,12,13427.51,125323.43,UPI,01-Mar-25,Overdue,305
TXN0133,02-Jan-25,Tech Mahindra,Hardware,Tamil Nadu,INV-80807,129073.83,12,15488.86,144562.69,NEFT,28-Feb-25,Paid,0
TXN0134,09-Mar-25,Tata Consultancy,Raw Material,Delhi,INV-87182,165266.87,12,19832.02,185098.89,UPI,27-Mar-25,Paid,0
TXN0135,04-Aug-25,Bajaj Finance,Cloud Hosting,Karnataka,INV-72422,226896.23,18,40841.32,267737.55,Cash,25-Sep-25,Paid,0
TXN0136,20-Aug-25,Bajaj Finance,Consulting,Kerala,INV-15683,364985.28,18,65697.35,430682.63,Cheque,15-Oct-25,Paid,0
TXN0137,01-Feb-25,ICICI Bank,Office Supplies,Rajasthan,INV-99928,58441.11,28,16363.51,74804.62,NEFT,21-Feb-25,Paid,0
TXN0138,08-Nov-25,Wipro Ltd,Cloud Hosting,Tamil Nadu,INV-46046,314037.16,18,56526.69,370563.85,Cheque,31-Dec-25,Overdue,0
TXN0139,31-May-25,ICICI Bank,Travel,Kerala,INV-66387,54093.34,5,2704.67,56798.01,Cash,28-Jun-25,Pending,0
TXN0140,20-Aug-25,Nestle India,Consulting,Rajasthan,INV-54424,414572.52,28,116080.31,530652.83,Cheque,10-Sep-25,Paid,0
TXN0141,07-Aug-25,Reliance Ind,Maintenance,Telangana,INV-30006,344976.41,28,96593.39,441569.8,NEFT,27-Aug-25,Paid,0
TXN0142,17-Feb-25,HDFC Bank,Cloud Hosting,Telangana,INV-27054,280403.51,18,50472.63,330876.14,NEFT,30-Mar-25,Paid,0
TXN0143,07-Dec-25,ITC Ltd,Office Supplies,Maharashtra,INV-47700,302203,18,54396.54,356599.54,NEFT,27-Jan-26,Overdue,0
TXN0144,19-Apr-25,Wipro Ltd,Marketing,Delhi,INV-24184,178306.43,18,32095.16,210401.59,NEFT,21-May-25,Overdue,224
TXN0145,26-Apr-25,ITC Ltd,Office Supplies,Uttar Pradesh,INV-91490,308718.77,5,15435.94,324154.71,Cash,22-Jun-25,Partially Paid,0
TXN0146,17-May-25,Tata Consultancy,Hardware,Gujarat,INV-50499,461161.07,18,83008.99,544170.06,NEFT,12-Jun-25,Paid,0
TXN0147,17-Oct-25,Maruti Suzuki,Office Supplies,Karnataka,INV-28595,371779.68,5,18588.98,390368.66,NEFT,04-Dec-25,Paid,0
TXN0148,12-Jul-25,HDFC Bank,Marketing,Telangana,INV-30631,188176.28,18,33871.73,222048.01,Cash,03-Sep-25,Paid,0
TXN0149,27-Jan-25,Wipro Ltd,Hardware,Kerala,INV-16522,338614.51,18,60950.61,399565.12,Cheque,25-Mar-25,Pending,0
TXN0150,06-Sep-25,Asian Paints,Marketing,Rajasthan,INV-45804,111706.64,5,5585.33,117291.97,UPI,18-Oct-25,Paid,0
TXN0151,26-May-25,Maruti Suzuki,Utilities,West Bengal,INV-79066,335230.62,5,16761.53,351992.15,RTGS,05-Jul-25,Overdue,179
TXN0152,29-Jan-25,Tata Consultancy,Consulting,Gujarat,INV-37686,384838.02,18,69270.84,454108.86,UPI,05-Mar-25,Paid,0
TXN0153,04-Jan-25,ICICI Bank,Office Supplies,Tamil Nadu,INV-26932,193202.69,12,23184.32,216387.01,Cash,23-Feb-25,Partially Paid,0
TXN0154,01-Jul-25,Infosys Ltd,Office Supplies,Maharashtra,INV-67176,14277.06,5,713.85,14990.91,UPI,21-Aug-25,Pending,0
TXN0155,21-Oct-25,HDFC Bank,Office Supplies,Gujarat,INV-25096,205490.99,18,36988.38,242479.37,RTGS,14-Dec-25,Pending,0
TXN0156,20-Dec-25,Nestle India,Raw Material,Karnataka,INV-67240,423019.76,12,50762.37,473782.13,Cheque,10-Feb-26,Pending,0
TXN0157,26-Sep-25,Infosys Ltd,Office Supplies,Gujarat,INV-54500,114678.17,12,13761.38,128439.55,NEFT,12-Nov-25,Partially Paid,0
TXN0158,28-Feb-25,Bajaj Finance,Travel,Delhi,INV-55793,178794.37,12,21455.32,200249.69,RTGS,21-Mar-25,Paid,0
TXN0159,12-May-25,HCL Tech,Hardware,Kerala,INV-30036,381306.57,5,19065.33,400371.9,RTGS,06-Jul-25,Pending,0
TXN0160,26-Aug-25,ITC Ltd,Utilities,Kerala,INV-68838,342161.07,18,61588.99,403750.06,UPI,19-Sep-25,Pending,0
TXN0161,04-Feb-25,ICICI Bank,Marketing,Gujarat,INV-46002,297752.78,18,53595.5,351348.28,Cash,23-Feb-25,Paid,0
TXN0162,25-Aug-25,ICICI Bank,Software Services,Maharashtra,INV-58331,416689.83,5,20834.49,437524.32,NEFT,18-Oct-25,Overdue,74
TXN0163,17-Sep-25,HDFC Bank,Marketing,Kerala,INV-82655,477344.58,5,23867.23,501211.81,Cheque,07-Nov-25,Partially Paid,0
TXN0164,07-Apr-25,Reliance Ind,Utilities,West Bengal,INV-75715,79676.23,5,3983.81,83660.04,Cheque,28-Apr-25,Paid,0
TXN0165,13-Feb-25,Bajaj Finance,Hardware,Maharashtra,INV-42472,355272.74,28,99476.37,454749.11,Cash,02-Apr-25,Overdue,273
TXN0166,23-Mar-25,Reliance Ind,Raw Material,Gujarat,INV-60779,207340.85,18,37321.35,244662.2,Cash,10-Apr-25,Partially Paid,0
TXN0167,28-Nov-25,Reliance Ind,Cloud Hosting,Telangana,INV-22387,281191.79,28,78733.7,359925.49,UPI,29-Dec-25,Partially Paid,0
TXN0168,03-Dec-25,Nestle India,Utilities,Tamil Nadu,INV-53694,45343.48,12,5441.22,50784.7,UPI,06-Jan-26,Partially Paid,0
TXN0169,24-Dec-25,Maruti Suzuki,Office Supplies,Tamil Nadu,INV-87993,355872.84,5,17793.64,373666.48,UPI,12-Feb-26,Pending,0
TXN0170,26-Nov-25,ITC Ltd,Raw Material,Tamil Nadu,INV-97833,352901.28,5,17645.06,370546.34,Cheque,12-Jan-26,Paid,0
TXN0171,10-Jan-25,Reliance Ind,Maintenance,Tamil Nadu,INV-38074,174157.51,28,48764.1,222921.61,RTGS,08-Feb-25,Paid,0
TXN0172,21-Mar-25,Infosys Ltd,Maintenance,Karnataka,INV-76543,386582.99,5,19329.15,405912.14,UPI,14-May-25,Paid,0
TXN0173,02-Nov-25,HDFC Bank,Hardware,Tamil Nadu,INV-33703,416515.8,12,49981.9,466497.7,Cheque,19-Nov-25,Pending,0
TXN0174,06-Jul-25,Maruti Suzuki,Consulting,West Bengal,INV-90031,146039.33,28,40891.01,186930.34,RTGS,24-Aug-25,Paid,0
TXN0175,08-Jun-25,ITC Ltd,Marketing,Delhi,INV-58213,340761.88,28,95413.33,436175.21,Cheque,11-Jul-25,Pending,0
TXN0176,15-Sep-25,Bajaj Finance,Office Supplies,Tamil Nadu,INV-36174,401623.32,12,48194.8,449818.12,UPI,03-Oct-25,Partially Paid,0
TXN0177,04-Sep-25,Hindustan Unilever,Raw Material,Uttar Pradesh,INV-23446,357143.48,5,17857.17,375000.65,UPI,24-Sep-25,Paid,0
TXN0178,20-May-25,ICICI Bank,Travel,Tamil Nadu,INV-67340,50398.22,12,6047.79,56446.01,Cheque,26-Jun-25,Paid,0
TXN0179,01-Aug-25,Tata Consultancy,Office Supplies,Uttar Pradesh,INV-59015,121710.15,5,6085.51,127795.66,UPI,30-Aug-25,Paid,0
TXN0180,13-Jun-25,Nestle India,Cloud Hosting,Telangana,INV-29142,73111.8,18,13160.12,86271.92,Cheque,11-Aug-25,Paid,0
TXN0181,28-Dec-25,ICICI Bank,Marketing,Kerala,INV-10688,453399.46,5,22669.97,476069.43,UPI,25-Jan-26,Paid,0
