GSTIN,Business_Name,State,Filing_Period,CGST (₹),SGST (₹),IGST (₹),Total_GST (₹),Due_Date,Filed_Date,Status,Penalty (₹),Compliance_Score
274777252287280,Tata Consultancy,Karnataka,Nov-2025,3377.21,3043.8,4556.0,10977.01,20-Nov-2025,-,Missed,548.85,34%
271203875099770,Bajaj Finance,Uttar Pradesh,Jul-2025,1580.7,1590.0,8604.85,11775.55,20-Jul-2025,20-Jul-2025,Filed On Time,0.0,85%
278621182339845,ITC Ltd,Rajasthan,Feb-2025,19279.53,18917.18,17167.56,55364.27,20-Feb-2025,-,Missed,2768.21,34%
274101666870021,Hindustan Unilever,Rajasthan,Nov-2025,39434.44,39953.84,25809.83,105198.11,20-Nov-2025,20-Nov-2025,Filed On Time,0.0,86%
273397401489025,HCL Tech,Kerala,Mar-2025,37860.47,39471.14,12249.73,89581.34,20-Mar-2025,20-Mar-2025,Filed On Time,0.0,94%
272939685621850,HDFC Bank,Delhi,Feb-2025,17689.04,18640.73,28668.32,64998.09,20-Feb-2025,25-Feb-2025,Late Filing,1299.96,84%
275047735866296,ITC Ltd,Kerala,May-2025,40104.7,41814.03,2920.12,84838.84999999999,20-May-2025,20-May-2025,Filed On Time,0.0,97%
272655110475412,Wipro Ltd,Rajasthan,Aug-2025,28292.27,28362.67,3547.14,60202.08,20-Aug-2025,20-Aug-2025,Filed On Time,0.0,96%
278199560466183,Bajaj Finance,Tamil Nadu,Nov-2025,19655.87,18236.09,9383.37,47275.33,20-Nov-2025,25-Nov-2025,Late Filing,945.51,64%
271264647154379,HCL Tech,West Bengal,Feb-2025,7638.99,6885.43,12172.91,26697.33,20-Feb-2025,-,Pending,0.0,44%
275756924593752,Reliance Ind,Gujarat,Dec-2025,35052.93,34989.89,17488.44,87531.26000000001,20-Dec-2025,20-Dec-2025,Filed On Time,0.0,95%
276465193982807,ICICI Bank,Gujarat,Dec-2025,4388.77,4694.04,23953.85,33036.66,20-Dec-2025,-,Missed,1651.83,51%
272434266179796,Bajaj Finance,Rajasthan,Sep-2025,2801.49,3063.95,21198.21,27063.65,20-Sep-2025,-,Pending,0.0,58%
271135290965610,Tech Mahindra,Delhi,Sep-2025,37595.8,38031.86,20786.1,96413.76000000001,20-Sep-2025,20-Sep-2025,Filed On Time,0.0,99%
275679825071461,Hindustan Unilever,Tamil Nadu,Jun-2025,16282.63,16137.17,6602.59,39022.39,20-Jun-2025,25-Jun-2025,Late Filing,780.45,71%
277177514010512,Bajaj Finance,Tamil Nadu,Sep-2025,8846.65,8952.54,28774.65,46573.84,20-Sep-2025,20-Sep-2025,Filed On Time,0.0,97%
272266093796603,Tech Mahindra,Karnataka,Oct-2025,5985.85,6431.17,6015.32,18432.34,20-Oct-2025,20-Oct-2025,Filed On Time,0.0,91%
277147859696915,Hindustan Unilever,West Bengal,Oct-2025,9453.85,9782.07,24118.09,43354.00999999999,20-Oct-2025,-,Pending,0.0,57%
271251341252866,Wipro Ltd,Kerala,Jul-2025,21728.9,21670.97,16352.69,59752.56,20-Jul-2025,-,Missed,2987.63,31%
278274225790507,HCL Tech,Rajasthan,Sep-2025,25766.46,25740.54,20698.55,72205.55,20-Sep-2025,25-Sep-2025,Late Filing,1444.11,82%
277721903404384,ITC Ltd,West Bengal,Oct-2025,37383.39,39371.58,16716.92,93471.89,20-Oct-2025,20-Oct-2025,Filed On Time,0.0,88%
274858078361340,Tech Mahindra,Telangana,Feb-2025,22514.43,24738.67,23381.13,70634.23,20-Feb-2025,20-Feb-2025,Filed On Time,0.0,91%
279596292330958,Asian Paints,Uttar Pradesh,Mar-2025,16859.03,17547.06,9035.33,43441.42,20-Mar-2025,20-Mar-2025,Filed On Time,0.0,88%
272604223253672,Maruti Suzuki,Gujarat,Nov-2025,21297.03,21092.54,19192.02,61581.59,20-Nov-2025,20-Nov-2025,Filed On Time,0.0,97%
278457759017518,HCL Tech,Rajasthan,Apr-2025,25241.03,24346.82,8866.0,58453.85,20-Apr-2025,-,Pending,0.0,56%
272975001701277,HDFC Bank,Delhi,Dec-2025,45560.95,49043.15,9405.03,104009.13,20-Dec-2025,20-Dec-2025,Filed On Time,0.0,87%
275415206436110,ICICI Bank,Karnataka,Mar-2025,30090.3,30207.32,13629.47,73927.09,20-Mar-2025,20-Mar-2025,Filed On Time,0.0,95%
271627136111554,HDFC Bank,Tamil Nadu,Nov-2025,49654.07,46107.31,16149.99,111911.37,20-Nov-2025,20-Nov-2025,Filed On Time,0.0,90%
277532697311219,Reliance Ind,Rajasthan,Jun-2025,39762.76,37757.02,19516.31,97036.09,20-Jun-2025,20-Jun-2025,Filed On Time,0.0,94%
270438983640376,HCL Tech,West Bengal,Nov-2025,30102.56,30272.86,29342.06,89717.48,20-Nov-2025,20-Nov-2025,Filed On Time,0.0,95%
272696582710910,HCL Tech,Maharashtra,Jan-2025,47485.32,46516.38,8951.39,102953.09,20-Jan-2025,-,Missed,5147.65,52%
276661889241418,ITC Ltd,Tamil Nadu,Sep-2025,17010.76,17304.83,23015.11,57330.7,20-Sep-2025,-,Missed,2866.53,24%
274630316179904,Infosys Ltd,Maharashtra,Dec-2025,7723.38,6968.58,15144.18,29836.14,20-Dec-2025,20-Dec-2025,Filed On Time,0.0,93%
272524105648149,ICICI Bank,West Bengal,Sep-2025,18646.07,18644.62,17223.14,54513.83,20-Sep-2025,20-Sep-2025,Filed On Time,0.0,90%
274191380003075,Nestle India,Tamil Nadu,Mar-2025,46626.84,49960.52,16809.51,113396.87,20-Mar-2025,-,Missed,5669.84,46%
273536541951802,ITC Ltd,Uttar Pradesh,Jan-2025,47749.89,43633.15,14220.28,105603.32,20-Jan-2025,20-Jan-2025,Filed On Time,0.0,94%
275187053494937,Asian Paints,West Bengal,Apr-2025,36890.7,37234.22,23981.22,98106.14,20-Apr-2025,20-Apr-2025,Filed On Time,0.0,85%
276038505064138,HDFC Bank,West Bengal,Jan-2025,48655.4,45175.31,8754.85,102585.56,20-Jan-2025,20-Jan-2025,Filed On Time,0.0,92%
278657191826199,HDFC Bank,Tamil Nadu,Apr-2025,15292.13,16365.37,27818.24,59475.74000000001,20-Apr-2025,25-Apr-2025,Late Filing,1189.51,82%
275574313291212,ICICI Bank,Telangana,Jul-2025,6916.1,6720.08,23224.93,36861.11,20-Jul-2025,25-Jul-2025,Late Filing,737.22,69%
277411249035213,HDFC Bank,Uttar Pradesh,Jan-2025,34181.99,32542.39,29724.96,96449.34,20-Jan-2025,20-Jan-2025,Filed On Time,0.0,97%
277883171210032,Hindustan Unilever,Rajasthan,Jun-2025,34627.98,37658.45,2979.16,75265.59,20-Jun-2025,-,Pending,0.0,36%
271013721510702,HDFC Bank,Rajasthan,Aug-2025,2444.63,2534.21,5597.81,10576.65,20-Aug-2025,20-Aug-2025,Filed On Time,0.0,90%
274472099934768,Tata Consultancy,Karnataka,May-2025,19767.75,19448.44,19458.25,58674.44,20-May-2025,-,Pending,0.0,35%
278065787598564,Tata Consultancy,Telangana,Oct-2025,11731.99,12660.61,23466.88,47859.48,20-Oct-2025,20-Oct-2025,Filed On Time,0.0,100%
278593213348039,Reliance Ind,Tamil Nadu,Mar-2025,12591.01,12132.71,22274.1,46997.82,20-Mar-2025,20-Mar-2025,Filed On Time,0.0,85%
275992937842701,HCL Tech,Kerala,Apr-2025,1976.47,1967.77,10286.15,14230.39,20-Apr-2025,-,Pending,0.0,32%
272525002921851,Sun Pharma,Rajasthan,Oct-2025,5950.58,5714.66,4525.32,16190.56,20-Oct-2025,20-Oct-2025,Filed On Time,0.0,98%
277528953926442,Sun Pharma,Maharashtra,Dec-2025,47486.21,46456.72,29831.35,123774.28,20-Dec-2025,-,Pending,0.0,22%
272959391725135,Wipro Ltd,Karnataka,Dec-2025,33831.2,35382.6,10404.61,79618.40999999999,20-Dec-2025,20-Dec-2025,Filed On Time,0.0,93%
273315410067626,Nestle India,Rajasthan,Jun-2025,27755.17,25542.69,14644.93,67942.79000000001,20-Jun-2025,-,Pending,0.0,34%
272710405411526,Sun Pharma,Karnataka,Sep-2025,47149.87,51657.79,10469.54,109277.2,20-Sep-2025,-,Pending,0.0,50%
270629620153368,Tech Mahindra,Gujarat,May-2025,12639.87,11501.36,17367.21,41508.44,20-May-2025,25-May-2025,Late Filing,830.17,64%
270506149731032,Infosys Ltd,West Bengal,Feb-2025,16109.32,15778.97,14928.36,46816.65,20-Feb-2025,-,Missed,2340.83,36%
271862565270477,HCL Tech,Gujarat,Oct-2025,4020.33,4223.14,20190.32,28433.79,20-Oct-2025,20-Oct-2025,Filed On Time,0.0,96%
278693806868793,Tech Mahindra,Karnataka,Jul-2025,45236.08,47174.95,15311.99,107723.02,20-Jul-2025,-,Pending,0.0,56%
279217223320616,Hindustan Unilever,Tamil Nadu,Oct-2025,13636.43,14756.81,27468.13,55861.37,20-Oct-2025,20-Oct-2025,Filed On Time,0.0,87%
276868548709986,HDFC Bank,Tamil Nadu,Mar-2025,28763.1,29238.71,28962.53,86964.34,20-Mar-2025,20-Mar-2025,Filed On Time,0.0,88%
279148564679970,Tech Mahindra,Rajasthan,Mar-2025,31293.98,32425.65,12350.74,76070.37000000001,20-Mar-2025,25-Mar-2025,Late Filing,1521.41,70%
273074505444713,Tech Mahindra,West Bengal,Jun-2025,14201.58,13965.19,19543.87,47710.64,20-Jun-2025,20-Jun-2025,Filed On Time,0.0,99%
273678508214862,Nestle India,Kerala,Jan-2025,9513.13,10226.96,6421.44,26161.53,20-Jan-2025,20-Jan-2025,Filed On Time,0.0,92%
270705345786103,ICICI Bank,Kerala,Aug-2025,9701.6,10420.45,17812.97,37935.02,20-Aug-2025,20-Aug-2025,Filed On Time,0.0,96%
272414060293333,Maruti Suzuki,Rajasthan,Sep-2025,1982.57,2093.71,23143.4,27219.68,20-Sep-2025,20-Sep-2025,Filed On Time,0.0,100%
272290349446657,HCL Tech,West Bengal,May-2025,34182.61,36399.77,12216.0,82798.38,20-May-2025,20-May-2025,Filed On Time,0.0,85%
278589944171545,Tech Mahindra,Gujarat,Apr-2025,8346.54,8789.7,27040.77,44177.01,20-Apr-2025,-,Pending,0.0,45%
275207446660993,Sun Pharma,Delhi,Nov-2025,27197.12,28746.8,27242.53,83186.45,20-Nov-2025,-,Missed,4159.32,42%
278428241724825,HCL Tech,Telangana,Apr-2025,37466.29,36020.73,23748.67,97235.69,20-Apr-2025,20-Apr-2025,Filed On Time,0.0,96%
274947170999173,Infosys Ltd,Rajasthan,Sep-2025,15619.43,14226.37,25700.07,55545.87,20-Sep-2025,20-Sep-2025,Filed On Time,0.0,91%
275697252175250,ICICI Bank,Gujarat,Apr-2025,38298.47,35760.09,23052.27,97110.83,20-Apr-2025,25-Apr-2025,Late Filing,1942.22,84%
271296666760083,Tata Consultancy,Telangana,Sep-2025,10338.26,10703.71,18987.26,40029.23,20-Sep-2025,20-Sep-2025,Filed On Time,0.0,92%
275421689421044,Sun Pharma,Uttar Pradesh,Oct-2025,26681.76,26327.77,20760.01,73769.54,20-Oct-2025,20-Oct-2025,Filed On Time,0.0,95%
277532603323098,Infosys Ltd,Telangana,Dec-2025,32876.48,29834.51,26358.05,89069.04000000001,20-Dec-2025,20-Dec-2025,Filed On Time,0.0,86%
279010016761847,HCL Tech,Maharashtra,May-2025,21622.7,19897.12,15849.12,57368.94,20-May-2025,-,Pending,0.0,58%
272618914117393,Hindustan Unilever,Uttar Pradesh,Apr-2025,18538.17,18203.58,5231.02,41972.77,20-Apr-2025,-,Pending,0.0,51%
273753001197218,Sun Pharma,Karnataka,May-2025,32572.5,32290.76,29330.08,94193.34,20-May-2025,20-May-2025,Filed On Time,0.0,99%
270120455611002,Reliance Ind,Telangana,Aug-2025,47799.37,45584.44,22125.5,115509.31,20-Aug-2025,20-Aug-2025,Filed On Time,0.0,95%
272166746762120,Infosys Ltd,Rajasthan,Oct-2025,24651.07,24990.98,13425.8,63067.85000000001,20-Oct-2025,-,Pending,0.0,44%
275902771670145,Sun Pharma,Uttar Pradesh,Dec-2025,29255.8,29636.2,29347.92,88239.92,20-Dec-2025,-,Missed,4412.0,41%
278891637562890,Maruti Suzuki,Tamil Nadu,Sep-2025,42593.43,45590.91,26147.76,114332.1,20-Sep-2025,20-Sep-2025,Filed On Time,0.0,100%
275354083866317,ITC Ltd,Kerala,Aug-2025,5312.97,5311.33,9823.82,20448.12,20-Aug-2025,25-Aug-2025,Late Filing,408.96,83%
270166088019948,HCL Tech,West Bengal,Jun-2025,18803.78,17127.52,7076.08,43007.38,20-Jun-2025,25-Jun-2025,Late Filing,860.15,70%
278997571130554,Bajaj Finance,Telangana,Dec-2025,6209.79,6702.69,15026.45,27938.93,20-Dec-2025,-,Missed,1396.95,46%
271493316373516,Nestle India,Kerala,Feb-2025,38835.11,38450.68,19924.47,97210.26000000001,20-Feb-2025,-,Pending,0.0,28%
277080869782922,HDFC Bank,Kerala,Oct-2025,44252.1,44288.48,11847.55,100388.13,20-Oct-2025,-,Pending,0.0,35%
274654722698485,Maruti Suzuki,Delhi,Apr-2025,11275.92,11759.4,20755.03,43790.35,20-Apr-2025,-,Missed,2189.52,28%
272885158799684,ITC Ltd,Maharashtra,Sep-2025,6217.05,6068.92,2065.42,14351.39,20-Sep-2025,20-Sep-2025,Filed On Time,0.0,91%
274244204380571,Hindustan Unilever,Uttar Pradesh,Apr-2025,37378.22,37836.26,7509.07,82723.55000000002,20-Apr-2025,-,Missed,4136.18,38%
270666580043973,ITC Ltd,Kerala,Sep-2025,37184.05,34926.75,21884.98,93995.78,20-Sep-2025,20-Sep-2025,Filed On Time,0.0,94%
277212281606484,Wipro Ltd,Kerala,May-2025,1276.61,1268.01,28156.09,30700.71,20-May-2025,20-May-2025,Filed On Time,0.0,89%
275909479851583,Bajaj Finance,Karnataka,Sep-2025,8809.15,8885.05,12400.8,30095.0,20-Sep-2025,20-Sep-2025,Filed On Time,0.0,92%
273555439878015,HCL Tech,Kerala,Oct-2025,12947.53,11756.04,26626.97,51330.54,20-Oct-2025,25-Oct-2025,Late Filing,1026.61,63%
276484085887704,Reliance Ind,Uttar Pradesh,Feb-2025,47462.38,44305.13,28710.15,120477.66,20-Feb-2025,-,Pending,0.0,54%
270133613861207,Tata Consultancy,Karnataka,Feb-2025,3659.14,3874.45,16963.48,24497.07,20-Feb-2025,-,Pending,0.0,34%
274667665061809,ITC Ltd,Kerala,Jan-2025,35343.22,32322.01,27877.41,95542.64,20-Jan-2025,20-Jan-2025,Filed On Time,0.0,94%
274914766072832,ITC Ltd,Uttar Pradesh,May-2025,48046.58,44626.39,20480.03,113153.0,20-May-2025,-,Missed,5657.65,43%
270882100996881,HCL Tech,Telangana,Apr-2025,21220.07,21839.41,15620.3,58679.78,20-Apr-2025,20-Apr-2025,Filed On Time,0.0,90%
273943129087814,Tech Mahindra,Karnataka,Apr-2025,36553.87,36460.22,10260.1,83274.19,20-Apr-2025,20-Apr-2025,Filed On Time,0.0,92%
271491357759492,Asian Paints,Telangana,Jun-2025,47974.29,44794.93,9739.84,102509.06,20-Jun-2025,20-Jun-2025,Filed On Time,0.0,98%
274525777547812,Infosys Ltd,Gujarat,Mar-2025,44673.55,41961.26,22139.57,108774.38,20-Mar-2025,-,Missed,5438.72,24%
271080996930848,ICICI Bank,Tamil Nadu,Jun-2025,20232.42,21816.37,17893.22,59942.00999999999,20-Jun-2025,20-Jun-2025,Filed On Time,0.0,89%
277881658039282,Wipro Ltd,Tamil Nadu,Oct-2025,47486.88,49000.89,29048.2,125535.97,20-Oct-2025,-,Missed,6276.8,50%
275037314530385,ICICI Bank,West Bengal,Jan-2025,2955.33,3043.12,3545.14,9543.59,20-Jan-2025,-,Pending,0.0,37%
274989266591846,Bajaj Finance,Rajasthan,Jun-2025,41044.6,39772.48,23883.39,104700.47,20-Jun-2025,-,Pending,0.0,20%
278272318432225,Sun Pharma,Karnataka,Nov-2025,12286.97,13051.64,21747.54,47086.15,20-Nov-2025,25-Nov-2025,Late Filing,941.72,81%
277739260302992,Maruti Suzuki,Uttar Pradesh,Jan-2025,44649.09,41495.66,5407.07,91551.82,20-Jan-2025,20-Jan-2025,Filed On Time,0.0,97%
279904137977236,Wipro Ltd,Kerala,Mar-2025,31537.38,31605.53,5447.79,68590.7,20-Mar-2025,-,Missed,3429.53,41%
277991366210388,Hindustan Unilever,Tamil Nadu,Oct-2025,5718.63,5691.03,18635.07,30044.73,20-Oct-2025,20-Oct-2025,Filed On Time,0.0,88%
271729806865086,ITC Ltd,West Bengal,Jul-2025,18175.37,19282.69,27281.84,64739.89999999999,20-Jul-2025,-,Missed,3236.99,56%
271624731498643,Sun Pharma,Maharashtra,Oct-2025,26604.49,26709.64,11563.38,64877.51,20-Oct-2025,20-Oct-2025,Filed On Time,0.0,95%
276512694486959,Maruti Suzuki,Rajasthan,Apr-2025,21248.18,22454.18,14732.8,58435.16,20-Apr-2025,20-Apr-2025,Filed On Time,0.0,100%
274495621372138,ITC Ltd,Telangana,Sep-2025,31087.24,32234.76,2035.56,65357.56,20-Sep-2025,25-Sep-2025,Late Filing,1307.15,80%
270127961143519,Sun Pharma,Rajasthan,Jul-2025,31084.31,31214.9,21492.37,83791.58,20-Jul-2025,-,Pending,0.0,23%
272770384309883,Wipro Ltd,Maharashtra,Jun-2025,12723.57,11451.94,5144.62,29320.13,20-Jun-2025,20-Jun-2025,Filed On Time,0.0,97%
275669380118489,Reliance Ind,Gujarat,Apr-2025,30711.81,28835.47,27926.56,87473.84,20-Apr-2025,-,Pending,0.0,20%
274268181845184,Hindustan Unilever,Kerala,May-2025,35015.4,38279.22,17113.47,90408.09,20-May-2025,20-May-2025,Filed On Time,0.0,95%
277790714163356,Bajaj Finance,Uttar Pradesh,Jan-2025,35340.11,33667.46,8975.04,77982.61000000002,20-Jan-2025,25-Jan-2025,Late Filing,1559.65,81%
275182755394237,HCL Tech,Delhi,May-2025,11132.15,10470.38,7866.02,29468.55,20-May-2025,-,Pending,0.0,42%
272111790807595,Nestle India,Kerala,May-2025,25049.46,27476.23,27522.2,80047.89,20-May-2025,20-May-2025,Filed On Time,0.0,97%
273920867808562,Infosys Ltd,Uttar Pradesh,Aug-2025,16466.91,14847.94,20386.04,51700.89,20-Aug-2025,25-Aug-2025,Late Filing,1034.02,78%
