txn_id,date,category,type,amount
T0081,2024-03-22,Rent,credit,384152
T0082,2024-03-23,Utilities,debit,431364
T0083,2024-03-24,Utilities,credit,95270
T0084,2024-03-25,Utilities,debit,267901
T0085,2024-03-26,Rent,credit,20097
T0086,2024-03-27,Operations,credit,142467
T0087,2024-03-28,Utilities,debit,148313
T0088,2024-03-29,Tax,debit,367036
T0089,2024-03-30,Others,credit,159768
T0090,2024-03-31,Rent,debit,247726
T0091,2024-04-01,Rent,credit,333624
T0092,2024-04-02,Operations,debit,47163
T0093,2024-04-03,Rent,debit,20816
T0094,2024-04-04,Rent,debit,444056
T0095,2024-04-05,Utilities,debit,234619
T0096,2024-04-06,Operations,debit,315997
T0097,2024-04-07,Utilities,debit,156989
T0098,2024-04-08,Others,debit,97731
T0099,2024-04-09,Others,credit,153638
T0100,2024-04-10,Utilities,credit,207524
T0101,2024-04-11,Others,debit,63823
T0102,2024-04-12,Operations,debit,152878
T0103,2024-04-13,Salary,debit,207592
T0104,2024-04-14,Utilities,credit,2759
T0105,2024-04-15,Tax,debit,258164
T0106,2024-04-16,Tax,debit,436165
T0107,2024-04-17,Rent,credit,355518
T0108,2024-04-18,Others,credit,134554
T0109,2024-04-19,Tax,debit,287586
T0110,2024-04-20,Rent,debit,427935
T0111,2024-04-21,Salary,credit,452282
T0112,2024-04-22,Operations,credit,94501
T0113,2024-04-23,Operations,credit,265223
T0114,2024-04-24,Operations,credit,396933
T0115,2024-04-25,Tax,debit,60676
T0116,2024-04-26,Salary,debit,422168
T0117,2024-04-27,Tax,credit,3372280
T0118,2024-04-28,Others,debit,174532
T0119,2024-04-29,Tax,debit,91397
T0120,2024-04-30,Salary,debit,73847
T0121,2024-05-01,Salary,debit,94607
T0122,2024-05-02,Others,credit,221178
T0123,2024-05-03,Salary,credit,150521
T0124,2024-05-04,Salary,debit,1250195
T0125,2024-05-05,Operations,debit,65077
T0126,2024-05-06,Others,credit,301402
T0127,2024-05-07,Marketing,debit,180374
T0128,2024-05-08,Marketing,debit,258009
T0129,2024-05-09,Salary,credit,423081
T0130,2024-05-10,Marketing,debit,138717
T0131,2024-05-11,Marketing,debit,382915
T0132,2024-05-12,Salary,debit,39000
T0133,2024-05-13,Marketing,credit,27737
T0134,2024-05-14,Tax,debit,274629
T0135,2024-05-15,Rent,debit,301709
T0136,2024-05-16,Others,debit,419738
T0137,2024-05-17,Rent,debit,382758
T0138,2024-05-18,Salary,debit,328299
T0139,2024-05-19,Operations,debit,187240
T0140,2024-05-20,Others,debit,53487
T0141,2024-05-21,Salary,debit,393092
T0142,2024-05-22,Operations,debit,275486
T0143,2024-05-23,Rent,credit,303950
T0144,2024-05-24,Salary,credit,311914
T0145,2024-05-25,Others,debit,79623
T0146,2024-05-26,Others,credit,366321
T0147,2024-05-27,Utilities,debit,494001
T0148,2024-05-28,Tax,credit,394170
T0149,2024-05-29,Marketing,debit,338773
T0150,2024-05-30,Operations,debit,4549760
T0151,2024-05-31,Utilities,debit,184675
T0152,2024-06-01,Marketing,credit,390088
T0153,2024-06-02,Marketing,debit,214046
T0154,2024-06-03,Salary,debit,106947
T0155,2024-06-04,Marketing,credit,289543
T0156,2024-06-05,Tax,debit,129177
T0157,2024-06-06,Others,debit,217454
T0158,2024-06-07,Utilities,credit,1526338
T0159,2024-06-08,Marketing,debit,110575
T0160,2024-06-09,Salary,credit,374048
T0161,2024-06-10,Tax,credit,208606
T0162,2024-06-11,Rent,debit,449322
T0163,2024-06-12,Others,credit,293822
T0164,2024-06-13,Others,debit,77218
T0165,2024-06-14,Utilities,debit,64230
T0166,2024-06-15,Others,debit,246756
T0167,2024-06-16,Marketing,debit,337199
T0168,2024-06-17,Salary,debit,450589
T0169,2024-06-18,Others,debit,163552
T0170,2024-06-19,Others,debit,479446
T0171,2024-06-20,Rent,credit,463052
T0172,2024-06-21,Rent,debit,335402
T0173,2024-06-22,Operations,debit,40986
T0174,2024-06-23,Tax,credit,156232
T0175,2024-06-24,Marketing,debit,348739
T0176,2024-06-25,Others,debit,102358
T0177,2024-06-26,Others,debit,473327
T0178,2024-06-27,Salary,debit,328073
T0179,2024-06-28,Operations,debit,74506
T0180,2024-06-29,Tax,credit,35911
T0181,2024-06-30,Operations,credit,4549560
T0182,2024-07-01,Utilities,debit,426037
T0183,2024-07-02,Tax,debit,207111
T0184,2024-07-03,Others,credit,454751
T0185,2024-07-04,Others,debit,376597
T0186,2024-07-05,Tax,credit,85458
T0187,2024-07-06,Others,credit,13175
T0188,2024-07-07,Marketing,credit,382379
T0189,2024-07-08,Tax,credit,2859582
T0190,2024-07-09,Operations,debit,390301
T0191,2024-07-10,Tax,debit,122300
T0192,2024-07-11,Others,credit,87925
T0193,2024-07-12,Marketing,debit,245446
T0194,2024-07-13,Marketing,debit,67358
T0195,2024-07-14,Utilities,debit,411543
T0196,2024-07-15,Operations,credit,48057
T0197,2024-07-16,Rent,credit,269294
T0198,2024-07-17,Rent,credit,267569
T0199,2024-07-18,Tax,credit,255726
T0200,2024-07-19,Utilities,credit,279176
T0201,2024-07-20,Salary,debit,3198
T0202,2024-07-21,Tax,credit,454716
T0203,2024-07-22,Utilities,credit,185466
T0204,2024-07-23,Operations,credit,414295
T0205,2024-07-24,Operations,credit,168292
T0206,2024-07-25,Operations,credit,436090
T0207,2024-07-26,Operations,debit,145931
T0208,2024-07-27,Operations,credit,444676
T0209,2024-07-28,Utilities,credit,163491
T0210,2024-07-29,Utilities,debit,382009
T0211,2024-07-30,Marketing,debit,402921
T0212,2024-07-31,Rent,credit,2789616
T0213,2024-08-01,Others,credit,261910
T0214,2024-08-02,Operations,credit,24236
T0215,2024-08-03,Salary,debit,88955
T0216,2024-08-04,Others,debit,217586
T0217,2024-08-05,Utilities,debit,104145
T0218,2024-08-06,Salary,debit,147430
T0219,2024-08-07,Salary,credit,231785
T0220,2024-08-08,Salary,debit,95914
T0221,2024-08-09,Marketing,debit,366014
T0222,2024-08-10,Utilities,credit,208990
T0223,2024-08-11,Salary,debit,379387
T0224,2024-08-12,Operations,debit,15596
T0225,2024-08-13,Tax,debit,427788
T0226,2024-08-14,Salary,debit,472973
T0227,2024-08-15,Marketing,credit,133351
T0228,2024-08-16,Others,debit,195269
T0229,2024-08-17,Utilities,credit,374640
T0230,2024-08-18,Marketing,debit,393417
T0231,2024-08-19,Salary,debit,456732
T0232,2024-08-20,Utilities,credit,139155
T0233,2024-08-21,Tax,credit,121674
T0234,2024-08-22,Salary,credit,383451
T0235,2024-08-23,Marketing,credit,258529
T0236,2024-08-24,Rent,credit,241469
T0237,2024-08-25,Operations,debit,411987
T0238,2024-08-26,Others,debit,424191
T0239,2024-08-27,Marketing,debit,439864
T0240,2024-08-28,Utilities,debit,257713
T0241,2024-08-29,Salary,debit,442501
T0242,2024-08-30,Operations,debit,20063
T0243,2024-08-31,Salary,debit,68642
T0244,2024-09-01,Utilities,credit,91093
T0245,2024-09-02,Salary,credit,218215
T0246,2024-09-03,Rent,credit,431815
T0247,2024-09-04,Operations,credit,4775389
T0248,2024-09-05,Operations,credit,160601
T0249,2024-09-06,Utilities,credit,36954
T0250,2024-09-07,Others,debit,28856
T0251,2024-09-08,Rent,debit,3573
T0252,2024-09-09,Marketing,credit,472560
T0253,2024-09-10,Salary,credit,36367
T0254,2024-09-11,Tax,credit,2192324
T0255,2024-09-12,Salary,debit,238804
T0256,2024-09-13,Salary,debit,362752
T0257,2024-09-14,Marketing,debit,323918
T0258,2024-09-15,Salary,credit,24752
T0259,2024-09-16,Rent,debit,318173
T0260,2024-09-17,Rent,debit,149757
T0261,2024-09-18,Operations,credit,393426
T0262,2024-09-19,Utilities,debit,314837
T0263,2024-09-20,Others,debit,117739
T0264,2024-09-21,Tax,debit,319105
T0265,2024-09-22,Salary,debit,239009
T0266,2024-09-23,Salary,debit,257028
T0267,2024-09-24,Marketing,debit,208980
T0268,2024-09-25,Utilities,debit,257609
T0269,2024-09-26,Rent,debit,389822
T0270,2024-09-27,Tax,debit,337676
T0271,2024-09-28,Operations,debit,345138
T0272,2024-09-29,Rent,debit,319277
T0273,2024-09-30,Utilities,debit,491641
T0274,2024-10-01,Others,debit,324412
T0275,2024-10-02,Operations,credit,486417
T0276,2024-10-03,Others,debit,432459
T0277,2024-10-04,Marketing,debit,189456
T0278,2024-10-05,Marketing,debit,32653
T0279,2024-10-06,Salary,debit,158729
T0280,2024-10-07,Others,credit,434168
T0281,2024-10-08,Utilities,debit,416396
T0282,2024-10-09,Tax,debit,229504
T0283,2024-10-10,Operations,debit,122829
T0284,2024-10-11,Rent,debit,129377
T0285,2024-10-12,Utilities,debit,2646836
T0286,2024-10-13,Utilities,debit,2622
T0287,2024-10-14,Marketing,credit,49756
T0288,2024-10-15,Others,credit,41809
T0289,2024-10-16,Salary,debit,17725
T0290,2024-10-17,Salary,credit,193468
T0291,2024-10-18,Operations,credit,52226
T0292,2024-10-19,Marketing,debit,82182
T0293,2024-10-20,Utilities,credit,476781
T0294,2024-10-21,Tax,debit,30402
T0295,2024-10-22,Marketing,debit,5263
T0296,2024-10-23,Operations,debit,228595
T0297,2024-10-24,Operations,debit,178900
T0298,2024-10-25,Marketing,debit,48924
T0299,2024-10-26,Operations,credit,337326
T0300,2024-10-27,Marketing,debit,225137
T0301,2024-10-28,Rent,debit,453268
T0302,2024-10-29,Marketing,debit,405880
T0303,2024-10-30,Others,debit,298881
T0304,2024-10-31,Marketing,debit,364476
T0305,2024-11-01,Operations,debit,352707
T0306,2024-11-02,Others,credit,161445
T0307,2024-11-03,Operations,debit,168469
T0308,2024-11-04,Salary,credit,391719
T0309,2024-11-05,Salary,credit,480361
T0310,2024-11-06,Others,credit,102371
T0311,2024-11-07,Rent,debit,39709
T0312,2024-11-08,Salary,debit,193192
T0313,2024-11-09,Marketing,credit,151322
T0314,2024-11-10,Operations,debit,22172
T0315,2024-11-11,Salary,credit,12555
T0316,2024-11-12,Salary,credit,481626
T0317,2024-11-13,Rent,credit,472833
T0318,2024-11-14,Others,credit,54276
T0319,2024-11-15,Others,debit,58492
T0320,2024-11-16,Utilities,debit,185074
T0321,2024-11-17,Rent,debit,257010
T0322,2024-11-18,Marketing,credit,352743
T0323,2024-11-19,Others,credit,466571
T0324,2024-11-20,Operations,credit,223320
T0325,2024-11-21,Rent,debit,418978
T0326,2024-11-22,Salary,credit,12046
T0327,2024-11-23,Operations,debit,229071
T0328,2024-11-24,Operations,debit,379165
T0329,2024-11-25,Salary,debit,422985
T0330,2024-11-26,Rent,debit,185374
T0331,2024-11-27,Salary,credit,417366
T0332,2024-11-28,Utilities,debit,462463
T0333,2024-11-29,Operations,debit,267997
T0334,2024-11-30,Tax,debit,488829
T0335,2024-12-01,Tax,credit,121900
T0336,2024-12-02,Marketing,credit,483615
T0337,2024-12-03,Others,credit,416008
T0338,2024-12-04,Salary,debit,60129
T0339,2024-12-05,Salary,debit,238091
T0340,2024-12-06,Marketing,debit,206550
T0341,2024-12-07,Marketing,credit,245883
T0342,2024-12-08,Marketing,debit,115130
T0343,2024-12-09,Operations,credit,461514
T0344,2024-12-10,Utilities,credit,426203
T0345,2024-12-11,Salary,credit,4326872
T0346,2024-12-12,Operations,debit,406328
T0347,2024-12-13,Marketing,credit,122789
T0348,2024-12-14,Salary,debit,156130
T0349,2024-12-15,Operations,debit,177492
T0350,2024-12-16,Utilities,credit,39890
T0351,2024-12-17,Operations,debit,67017
T0352,2024-12-18,Utilities,credit,179376
T0353,2024-12-19,Marketing,credit,164993
T0354,2024-12-20,Utilities,debit,133596
T0355,2024-12-21,Salary,credit,101424
T0356,2024-12-22,Marketing,debit,278192
T0357,2024-12-23,Salary,debit,1870123
T0358,2024-12-24,Tax,debit,169976
T0359,2024-12-25,Rent,debit,318056
T0360,2024-12-26,Utilities,debit,35008
T0361,2024-12-27,Rent,debit,394276
T0362,2024-12-28,Rent,debit,206738
T0363,2024-12-29,Utilities,credit,84559
T0364,2024-12-30,Marketing,credit,56337
T0365,2024-12-31,Tax,debit,373760
T0366,2025-01-01,Salary,debit,276494
T0367,2025-01-02,Operations,credit,25354
T0368,2025-01-03,Salary,debit,46186
T0369,2025-01-04,Operations,credit,29145
T0370,2025-01-05,Salary,debit,428236
T0371,2025-01-06,Utilities,credit,87123
T0372,2025-01-07,Tax,credit,207258
T0373,2025-01-08,Operations,credit,217541
T0374,2025-01-09,Others,debit,21581
T0375,2025-01-10,Marketing,debit,89929
T0376,2025-01-11,Salary,credit,286195
T0377,2025-01-12,Salary,debit,52474
T0378,2025-01-13,Operations,credit,92748
T0379,2025-01-14,Marketing,debit,126995
T0380,2025-01-15,Marketing,credit,246690
T0381,2025-01-16,Utilities,credit,332770
T0382,2025-01-17,Others,debit,270104
T0383,2025-01-18,Utilities,debit,429988
T0384,2025-01-19,Utilities,debit,415736
T0385,2025-01-20,Utilities,debit,181553
T0386,2025-01-21,Utilities,debit,37408
T0387,2025-01-22,Utilities,credit,357150
T0388,2025-01-23,Tax,debit,260568
T0389,2025-01-24,Marketing,debit,320278
T0390,2025-01-25,Utilities,debit,152563
T0391,2025-01-26,Marketing,debit,133413
T0392,2025-01-27,Marketing,debit,176695
T0393,2025-01-28,Rent,debit,91327
T0394,2025-01-29,Tax,debit,394554
T0395,2025-01-30,Utilities,debit,203503
T0396,2025-01-31,Salary,credit,144326
T0397,2025-02-01,Operations,debit,183932
T0398,2025-02-02,Others,debit,12344
T0399,2025-02-03,Salary,credit,395966
T0400,2025-02-04,Tax,debit,448972
T0401,2025-02-05,Operations,debit,68957
T0402,2025-02-06,Tax,debit,106423
T0403,2025-02-07,Marketing,debit,321197
T0404,2025-02-08,Operations,credit,465071
T0405,2025-02-09,Marketing,debit,147968
T0406,2025-02-10,Salary,debit,187833
T0407,2025-02-11,Salary,credit,194624
T0408,2025-02-12,Operations,debit,252147
T0409,2025-02-13,Operations,credit,78454
T0410,2025-02-14,Utilities,debit,258594
T0411,2025-02-15,Tax,debit,353744
T0412,2025-02-16,Utilities,debit,385876
T0413,2025-02-17,Tax,credit,422151
T0414,2025-02-18,Utilities,debit,2969510
T0415,2025-02-19,Marketing,credit,30711
T0416,2025-02-20,Operations,credit,333486
T0417,2025-02-21,Salary,credit,370040
T0418,2025-02-22,Tax,credit,144254
T0419,2025-02-23,Tax,debit,88833
T0420,2025-02-24,Salary,debit,319420
T0421,2025-02-25,Utilities,debit,282685
T0422,2025-02-26,Tax,credit,357601
T0423,2025-02-27,Others,debit,476526
T0424,2025-02-28,Marketing,debit,45813
T0425,2025-03-01,Operations,debit,169270
T0426,2025-03-02,Salary,debit,140892
T0427,2025-03-03,Operations,debit,287214
T0428,2025-03-04,Others,credit,463984
T0429,2025-03-05,Tax,credit,405338
T0430,2025-03-06,Tax,debit,343703
T0431,2025-03-07,Others,debit,205615
T0432,2025-03-08,Salary,credit,477657
T0433,2025-03-09,Marketing,debit,42786
T0434,2025-03-10,Rent,debit,227006
T0435,2025-03-11,Salary,debit,231876
T0436,2025-03-12,Rent,debit,400953
T0437,2025-03-13,Others,debit,299206
T0438,2025-03-14,Utilities,credit,448453
T0439,2025-03-15,Rent,credit,314715
T0440,2025-03-16,Marketing,debit,288654
T0441,2025-03-17,Utilities,debit,282570
T0442,2025-03-18,Rent,credit,38265
T0443,2025-03-19,Others,debit,412066
T0444,2025-03-20,Utilities,debit,250321
T0445,2025-03-21,Others,debit,67150
T0446,2025-03-22,Rent,debit,88312
T0447,2025-03-23,Others,debit,90613
T0448,2025-03-24,Marketing,debit,3706871
T0449,2025-03-25,Rent,debit,315519
T0450,2025-03-26,Rent,debit,122826
T0451,2025-03-27,Rent,debit,36435
T0452,2025-03-28,Salary,credit,359587
T0453,2025-03-29,Salary,credit,451348
T0454,2025-03-30,Salary,debit,211017
T0455,2025-03-31,Marketing,credit,476266
T0456,2025-04-01,Utilities,credit,489618
T0457,2025-04-02,Others,debit,135055
T0458,2025-04-03,Tax,debit,491457
T0459,2025-04-04,Rent,credit,152734
T0460,2025-04-05,Others,debit,286654
T0461,2025-04-06,Rent,debit,210259
T0462,2025-04-07,Marketing,credit,173070
T0463,2025-04-08,Rent,debit,451062
T0464,2025-04-09,Salary,debit,95071
T0465,2025-04-10,Tax,debit,269784
T0466,2025-04-11,Operations,debit,307691
T0467,2025-04-12,Rent,debit,317764
T0468,2025-04-13,Others,debit,147389
T0469,2025-04-14,Salary,debit,116608
T0470,2025-04-15,Operations,debit,270708
T0471,2025-04-16,Tax,credit,159417
T0472,2025-04-17,Operations,credit,114824
T0473,2025-04-18,Salary,debit,488439
T0474,2025-04-19,Utilities,debit,255444
T0475,2025-04-20,Utilities,debit,80273
T0476,2025-04-21,Operations,credit,338003
T0477,2025-04-22,Marketing,debit,212837
T0478,2025-04-23,Others,credit,111017
T0479,2025-04-24,Others,debit,468254
T0480,2025-04-25,Operations,debit,124618
T0481,2025-04-26,Rent,debit,3916623
T0482,2025-04-27,Rent,debit,460297
T0483,2025-04-28,Others,debit,126341
T0484,2025-04-29,Others,debit,496866
T0485,2025-04-30,Utilities,debit,292574
T0486,2025-05-01,Marketing,credit,207604
T0487,2025-05-02,Salary,debit,3093373
T0488,2025-05-03,Rent,debit,227577
T0489,2025-05-04,Others,debit,442759
T0490,2025-05-05,Utilities,debit,408135
T0491,2025-05-06,Tax,debit,332490
T0492,2025-05-07,Utilities,debit,359266
T0493,2025-05-08,Rent,credit,40974
T0494,2025-05-09,Rent,credit,370453
T0495,2025-05-10,Utilities,debit,17371
T0496,2025-05-11,Salary,credit,308228
T0497,2025-05-12,Operations,debit,423845
T0498,2025-05-13,Rent,debit,183256
T0499,2025-05-14,Utilities,credit,325060
